File,Name,Lower_Left_Lon,Lower_Left_Lat,Upper_Right_Lon,Upper_Right_Lat
B4.kml,poly_1,133.991299,34.822832,134.007328,34.832240
B4.kml,poly_2,133.989303,34.831620,133.998581,34.837134
B4.kml,poly_3,133.991711,34.829997,133.992886,34.831788
B4.kml,ROIポリゴン,133.987416,34.821530,134.009339,34.838594
B4.kml,ROIポリゴン,136.017777,34.764440,136.036255,34.779816
B4.kml,poly_1,136.026076,34.768358,136.033054,34.775550
B4.kml,poly_2,136.030350,34.765469,136.034669,34.769452
B4.kml,poly_3,136.019317,34.771022,136.027865,34.778036
B4.kml,ROIポリゴン,136.532200,34.940834,136.560141,34.957462
B4.kml,poly_1,136.545212,34.941498,136.557573,34.950207
B4.kml,poly_2,136.534606,34.948266,136.544939,34.955621
B4.kml,poly_3,136.551260,34.947708,136.552146,34.948378
B4.kml,poly_4,136.545703,34.948124,136.546825,34.949063
B4.kml,ROIポリゴン,137.262656,35.147057,137.279212,35.159479
B4.kml,poly_1,137.264151,35.147909,137.276508,35.158954
B4.kml,poly_2,137.266738,35.154622,137.268189,35.155429
B4.kml,poly_3,137.268205,35.154072,137.269169,35.154822
B4.kml,poly_4,137.271319,35.152038,137.272752,35.153162
B4.kml,poly_5,137.270804,35.153343,137.271805,35.153744
B4.kml,poly_6,137.270457,35.154051,137.271208,35.154447
B4.kml,poly_7,137.269227,35.154512,137.270323,35.155049
B4.kml,poly_8,137.267778,35.155473,137.268460,35.155812
B4.kml,poly_9,137.266768,35.155681,137.267092,35.156026
B4.kml,poly_10,137.273912,35.149220,137.274754,35.150216
B4.kml,poly_11,137.272539,35.150722,137.273379,35.152047
B4.kml,poly_12,137.272960,35.150699,137.273888,35.152105
B4.kml,poly_13,137.273327,35.150238,137.273819,35.150626
B4.kml,ROIポリゴン,131.183540,32.854110,131.211394,32.865118
B4.kml,poly_1,131.185432,32.854618,131.210771,32.864310
B4.kml,poly_2,131.186673,32.856918,131.192304,32.859529
B4.kml,poly_3,131.195065,32.859293,131.196207,32.860324
B4.kml,ROIポリゴン,140.284535,35.376986,140.306075,35.386446
B4.kml,mobara,140.288030,35.377669,140.304997,35.385842
B4.kml,無題 - ポリゴン,140.634442,40.819700,140.664976,40.837110
B4.kml,poly_1,140.636110,40.821545,140.654492,40.830461
B4.kml,poly_2,140.650742,40.829049,140.663398,40.835486
B4.kml,poly_3,140.644995,40.823381,140.646023,40.823707
B4.kml,poly_4,140.657258,40.829502,140.660311,40.835486
B4.kml,無題 - ポリゴン,136.583736,34.420921,136.607402,34.436968
B4.kml,poly_1,136.585529,34.422400,136.604829,34.435934
B4.kml,poly_1,140.246294,37.186516,140.254166,37.194542
B4.kml,poly_2,140.232655,37.187060,140.245921,37.194525
B4.kml,ROI,140.231497,37.185591,140.255741,37.196052
B4.kml,ROIポリゴン,131.330687,31.894742,131.346488,31.909707
B4.kml,細江,131.332083,31.895241,131.345899,31.908948
B4.kml,岩国ROIポリゴン,132.073359,34.294729,132.092172,34.320961
B4.kml,poly_1,132.081449,34.295487,132.086028,34.299546
B4.kml,poly_2,132.077265,34.300699,132.082989,34.305843
B4.kml,poly_3,132.075512,34.309714,132.086188,34.319522
B4.kml,poly_4,132.079302,34.298900,132.084646,34.303929
B4.kml,poly_5,132.081083,34.299256,132.087720,34.311042
B4.kml,無題 - ポリゴン,130.928892,31.450078,130.952297,31.472044
B4.kml,poly_1,130.932557,31.451508,130.945164,31.465594
B4.kml,poly_2,130.944568,31.451788,130.947677,31.454006
B4.kml,poly_3,130.945373,31.453940,130.947145,31.454841
B4.kml,poly_4,130.944967,31.454426,130.946528,31.455465
B4.kml,poly_5,130.933079,31.455271,130.947578,31.470924
B4.kml,poly_6,130.935704,31.457976,130.940529,31.462131
B4.kml,poly_7,130.939046,31.459302,130.940044,31.460449
B4.kml,poly_8,130.939877,31.455276,130.942775,31.458176
B4.kml,poly_9,130.938047,31.454344,130.938709,31.454987
B4.kml,poly_10,130.938701,31.456703,130.939295,31.457275
B4.kml,poly_11,130.941141,31.455312,130.941927,31.455874
